0;0;0;0;land;false;unknown;0
1;200;77;236;land;true;plains;1
2;239;75;212;land;false;desert;1
3;183;163;185;land;false;jungle;1
4;244;201;152;land;false;plains;1
5;13;237;254;land;false;plains;1
6;104;225;177;land;false;desert;1
7;223;206;79;land;false;hills;1
8;94;243;212;land;false;mountain;1
9;232;244;217;land;false;plains;1
10;183;238;192;land;false;desert;1
11;161;215;180;land;false;plains;1
12;228;203;94;land;false;forest;1
13;248;65;216;land;false;plains;1
14;221;215;202;land;false;plains;1
15;237;104;251;land;false;plains;1
16;231;178;215;land;false;forest;1
17;184;247;228;land;false;jungle;1
18;181;95;250;land;false;forest;1
19;235;73;237;land;false;desert;1
20;226;167;197;land;false;desert;1
21;187;231;129;land;false;forest;1
22;85;239;194;land;false;plains;1
23;184;211;236;land;false;plains;1
24;224;246;197;land;false;plains;1
25;174;146;186;land;false;desert;1
26;229;70;211;land;false;desert;1
27;179;173;238;land;false;desert;1
28;223;193;216;land;false;mountain;1
29;210;206;97;land;false;forest;1
30;188;205;208;land;false;plains;1
31;228;209;172;land;false;desert;1
32;178;185;138;land;false;plains;1
33;222;182;119;land;false;plains;1
34;244;182;206;land;false;desert;1
35;115;238;159;land;true;plains;1
36;207;99;250;land;false;desert;1
37;183;152;205;land;false;hills;1
38;181;230;146;land;false;plains;1
39;234;224;129;land;false;plains;1
40;244;79;185;land;false;plains;1
41;197;226;136;land;false;forest;1
42;226;90;231;land;false;jungle;1
43;98;212;218;land;false;desert;1
44;249;99;160;land;false;plains;1
45;134;189;249;land;false;plains;1
46;253;32;240;land;false;plains;1
47;244;154;116;land;false;desert;1
48;207;197;247;land;false;plains;1
49;100;242;252;land;false;plains;1
50;218;236;77;land;false;desert;1
51;231;189;217;land;false;plains;1
52;237;241;55;land;false;desert;1
53;194;114;228;land;false;forest;1
54;234;83;238;land;false;desert;1
55;253;152;165;land;false;forest;1
56;223;206;248;land;false;forest;1
57;171;236;254;land;true;plains;1
58;97;251;214;land;false;forest;1
59;202;171;131;land;false;forest;1
60;193;211;114;land;false;plains;1
61;197;157;226;land;false;plains;1
62;193;200;231;land;false;hills;1
63;223;254;87;land;true;plains;1
64;162;239;116;land;false;desert;1
65;249;125;153;land;false;desert;1
66;96;242;214;land;false;jungle;1
67;148;192;201;land;false;desert;1
68;83;244;209;land;false;forest;1
69;244;215;81;land;false;hills;1
70;35;249;223;land;false;desert;1
71;252;216;194;land;false;desert;1
72;237;190;191;land;false;desert;1
73;190;187;141;land;false;desert;1
74;211;161;157;land;false;jungle;1
75;247;175;166;land;false;desert;1
76;197;164;202;land;false;plains;1
77;206;231;219;land;false;desert;1
78;221;190;104;land;false;plains;1
79;157;155;222;land;false;forest;1
80;197;83;236;land;false;plains;1
81;244;130;152;land;false;plains;1
82;251;242;23;land;false;forest;1
83;51;241;224;land;true;mountain;1
84;51;233;240;land;false;desert;1
85;228;131;149;land;false;plains;1
86;83;238;208;land;false;desert;1
87;136;188;179;land;false;jungle;1
88;142;188;238;land;false;plains;1
89;229;242;126;land;false;plains;1
90;230;168;169;land;false;plains;1
91;131;243;210;land;false;desert;1
92;208;218;180;land;false;plains;1
93;230;216;218;land;false;desert;1
94;230;183;242;land;false;plains;1
95;103;254;194;land;false;forest;1
96;254;78;229;land;false;desert;1
97;35;253;241;land;false;plains;1
98;229;149;244;land;false;jungle;1
99;211;196;208;land;false;desert;1
100;163;213;165;land;false;jungle;1
101;85;240;212;land;false;plains;1
102;197;202;148;land;false;desert;1
103;116;232;231;land;false;desert;1
104;209;242;97;land;false;desert;1
105;188;160;154;land;false;plains;1
106;212;102;230;land;false;plains;1
107;175;184;236;land;false;jungle;1
108;243;246;96;land;false;hills;1
109;167;159;231;land;false;forest;1
110;208;247;237;land;false;desert;1
111;229;126;207;land;false;desert;1
112;219;210;108;land;false;forest;1
113;239;206;64;land;false;jungle;1
114;250;176;88;land;false;desert;1
