42;air_base;2278.00;10.00;50.00;1.67;0
8;arms_factory;1152.00;10.05;515.00;2.40;0
8;arms_factory;1069.00;10.40;607.00;5.07;0
8;arms_factory;1059.00;10.03;479.00;1.45;0
8;arms_factory;1149.00;10.03;504.00;4.47;0
8;arms_factory;1090.00;10.05;513.00;0.85;0
8;arms_factory;1127.00;10.12;602.00;3.51;0
8;industrial_complex;1157.00;10.03;487.00;1.35;0
8;industrial_complex;1100.00;10.07;587.00;1.46;0
8;industrial_complex;1113.00;10.05;597.00;5.58;0
8;industrial_complex;1090.00;10.12;531.00;1.96;0
8;industrial_complex;1036.00;10.43;554.00;6.08;0
8;industrial_complex;1043.00;10.30;566.00;6.18;0
8;air_base;1016.00;10.25;533.00;4.02;0
8;supply_node;1085.00;10.05;500.00;0.98;0
8;supply_node;1050.00;10.10;476.00;5.02;0
8;supply_node;1062.00;10.10;566.00;1.67;0
8;supply_node;1153.00;10.03;551.00;3.15;0
8;supply_node;1122.00;10.00;530.00;0.91;0
8;supply_node;1152.00;10.00;476.00;2.39;0
8;supply_node;1037.00;10.38;521.00;5.32;0
8;supply_node;1167.00;10.10;611.00;1.63;0
8;supply_node;1168.00;10.07;515.00;4.56;0
8;supply_node;1066.00;10.45;600.00;1.21;0
8;supply_node;1025.00;10.35;564.00;3.80;0
8;supply_node;1123.00;10.10;601.00;0.45;0
8;supply_node;1023.00;10.30;599.00;1.93;0
8;supply_node;1106.00;10.00;566.00;5.97;0
8;supply_node;1138.00;10.00;505.00;2.63;0
8;supply_node;1118.00;10.03;463.00;4.10;0
8;supply_node;1084.00;10.43;540.00;1.86;0
8;supply_node;1141.00;10.15;579.00;3.34;0
8;bunker;1148.00;10.00;498.00;4.70;0
8;bunker;1088.00;10.15;576.00;2.54;0
8;bunker;1151.00;10.05;538.00;3.74;0
8;bunker;1146.00;10.25;610.00;0.48;0
8;bunker;1035.00;10.30;497.00;3.14;0
8;bunker;1047.00;10.35;550.00;5.81;0
8;bunker;1089.00;10.20;539.00;2.54;0
8;bunker;1086.00;10.05;498.00;5.21;0
8;bunker;1070.00;10.03;481.00;1.59;0
8;bunker;1123.00;10.00;552.00;4.25;0
8;bunker;1073.00;10.25;590.00;0.99;0
